City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,kirakira,-10.4544,161.9205,80.1,83,100,6.6,SB,1675878488
137,acapulco,16.8634,-99.8901,83.07,57,0,6.69,MX,1675878489
138,saldanha,-33.0117,17.9442,66.99,82,46,14.36,ZA,1675878489
139,namibe,-15.1961,12.1522,73.26,71,99,13.29,AO,1675878490
140,patrocinio,-18.9439,-46.9925,82.44,53,78,6.24,BR,1675878491
141,mossendjo,-2.9506,12.7261,72.21,93,66,0.36,CG,1675878491
142,egvekinot,66.3167,-179.1667,-17.16,94,100,6.58,RU,1675878492
143,sorland,67.667,12.6934,44.46,88,100,55.68,NO,1675878421
144,rio grande,-32.035,-52.0986,95.11,52,5,13.42,BR,1675878492
145,tarko-sale,64.9225,77.785,3.18,95,100,20.22,RU,1675878493
146,chokurdakh,70.6333,147.9167,-28.26,98,100,5.37,RU,1675878484
147,kavieng,-2.5744,150.7967,80.67,78,100,8.86,PG,1675878493
148,asau,46.4333,26.4,18.52,96,49,4.59,RO,1675878494
149,avera,33.194,-82.5271,72.91,61,100,5.64,US,1675878495
150,san cristobal,7.7669,-72.225,77.18,37,78,7.72,VE,1675878495
151,thompson,55.7435,-97.8558,15.96,86,75,11.5,CA,1675878317
152,clyde river,70.4692,-68.5914,-32.57,68,20,2.3,CA,1675878496
153,sfantu gheorghe,45.8667,25.7833,9.82,95,29,2.17,RO,1675878496
154,igarka,67.4667,86.5833,-7.2,99,100,7.96,RU,1675878497
155,butembo,0.15,29.2833,64.47,44,64,2.98,CD,1675878497
156,zapadnaya dvina,56.259,32.0745,27.86,96,100,7.29,RU,1675878216
157,kamenka,51.3223,42.7678,4.53,99,49,4.09,RU,1675878498
158,auki,-8.7676,160.7034,76.89,88,100,4.99,SB,1675878499
159,okhotsk,59.3833,143.3,-21.98,82,18,11.32,RU,1675878500
160,gronau,52.2,7.0333,39.13,56,14,6.64,DE,1675878500
161,palmer,42.1584,-72.3287,48.06,50,75,11.5,US,1675878501
162,kirovskiy,45.0917,133.5136,0.73,98,100,2.77,RU,1675878501
163,broken hill,-31.95,141.4333,74.26,22,2,3.91,AU,1675878501
164,shenjiamen,29.9576,122.298,50.32,83,100,11.16,CN,1675878502
165,nelson bay,-32.7167,152.15,73.0,83,32,8.01,AU,1675878502
166,sehore,23.2,77.0833,61.07,27,0,4.41,IN,1675878503
167,praia da vitoria,38.7333,-27.0667,57.45,82,75,13.13,PT,1675878418
168,stokmarknes,68.5646,14.9108,42.78,81,75,31.07,NO,1675878503
169,garden city,42.3256,-83.331,44.94,65,0,8.05,US,1675878222
170,aswan,24.0934,32.907,63.7,27,0,11.5,EG,1675878504
171,dikson,73.5069,80.5464,3.96,79,100,14.85,RU,1675878505
172,meadow lake,34.8014,-106.5436,39.85,58,9,7.31,US,1675878311
173,kieta,-6.2167,155.6333,79.61,85,100,6.13,PG,1675878505
174,ostrovnoy,68.0531,39.5131,29.14,74,65,34.56,RU,1675878506
175,muros,42.7762,-9.0603,53.37,67,0,6.31,ES,1675878506
176,charters towers,-20.1,146.2667,73.76,86,91,8.61,AU,1675878507
177,naze,28.3667,129.4833,61.72,79,75,12.33,JP,1675878507
178,narsaq,60.9167,-46.05,8.82,93,100,10.85,GL,1675878508
179,calabozo,8.9242,-67.4293,92.19,36,34,9.24,VE,1675878508
180,ixtapa,20.7,-105.2,72.63,68,0,0.0,MX,1675878509
181,russell,32.3502,-85.1999,75.9,50,40,9.22,US,1675878315
182,honggang,46.4667,124.8667,-2.67,94,7,1.61,CN,1675878509
183,chimbote,-9.0853,-78.5783,78.31,70,50,10.4,PE,1675878228
184,kavaratti,10.5669,72.642,79.75,74,61,9.22,IN,1675878510
185,salamiyah,35.0113,37.0532,37.49,66,63,7.02,SY,1675878511
186,tiarei,-17.5333,-149.3333,80.62,74,22,7.74,PF,1675878511
187,dhupgari,26.5858,89.0145,64.24,47,32,3.44,IN,1675878512
188,arman,59.7,150.1667,-19.84,85,46,9.1,RU,1675878459
189,severo-kurilsk,50.6789,156.125,19.94,69,92,11.45,RU,1675878513
190,mangaldan,16.0667,120.4,73.09,80,94,11.92,PH,1675878513
191,katsuura,35.1333,140.3,46.42,82,90,12.35,JP,1675878514
192,north platte,41.1239,-100.7654,30.09,69,0,5.75,US,1675878514
193,coihaique,-45.5752,-72.0662,74.01,53,75,9.22,CL,1675878431
194,hami,42.8,93.45,31.91,63,8,6.91,CN,1675878515
195,domoni,-12.2569,44.5319,79.47,84,100,6.17,KM,1675878516
196,hillsborough,37.5741,-122.3794,57.51,80,20,9.22,US,1675878516
197,praia,14.9215,-23.5087,73.94,56,75,18.41,CV,1675878412
198,guapi,2.5708,-77.8854,86.14,67,97,7.4,CO,1675878516
199,bambous virieux,-20.3428,57.7575,80.22,78,40,4.61,MU,1675878517
200,batticaloa,7.7102,81.6924,77.79,84,70,7.67,LK,1675878517
201,aguimes,27.9054,-15.4461,62.85,61,75,8.99,ES,1675878518
